ticker,company,sector,entry_date,cohort,label,is_winner,peak_mult_5y,mult_5y,source,usable_periods_screener,usable_periods_yfinance,determinate,rescued_by_screener,verdict,composite,vetoes,soft_flags,is_financial,roce,roe_latest,altman_z,fcf_posrate,ocf_np,earnings_cagr,detail,regime_label,rerating_boost,regime_cautions
PERSISTENT.NS,Persistent Systems,IT,2019-01-01,2019,multibagger_strong,True,12.81,12.468,screener_consolidated,4,0,True,True,FAIL,0.5989,,,False,0.146,0.152,13.01,1.0,1.07,0.041,ROCE=0.15(lo); fcf+=1.00; CFO/NP=1.07,neutral,0.0,fx_stress
TANLA.NS,Tanla Platforms,IT,2019-01-01,2019,multibagger_strong,True,67.812,36.73,screener_consolidated,4,0,True,True,FAIL,0.5842,,,False,0.013,0.028,10.3,1.0,3.54,1.078,ROCE=0.01(lo); fcf+=1.00; CFO/NP=3.54,neutral,0.0,fx_stress
TATAELXSI.NS,Tata Elxsi,IT,2019-01-01,2019,multibagger_strong,True,10.952,9.033,screener_consolidated,8,0,True,True,PASS,0.5734,,,False,0.535,0.36,11.44,0.875,1.3,0.04,ROCE=0.54(ok); fcf+=0.88; CFO/NP=1.30,neutral,0.0,fx_stress
AFFLE.NS,Affle India,IT,2020-01-01,2020,multibagger_strong,True,5.748,5.533,screener_consolidated,2,0,True,True,PASS,0.6276,,,False,0.741,0.681,8.58,1.0,1.17,0.755,ROCE=0.74(ok); fcf+=1.00; CFO/NP=1.17,risk_on,0.0,
KPITTECH.NS,KPIT Technologies,IT,2020-01-01,2020,multibagger_strong,True,21.046,16.54,screener_consolidated,2,0,False,False,INDETERMINATE,0.491,,,False,0.067,0.057,8.74,0.5,2.75,,non-fin: insufficient ROCE history,risk_on,0.0,
HAPPSTMNDS.NS,Happiest Minds Technologies,IT,2021-01-01,2021,multibagger,True,4.525,1.393,screener_consolidated,2,0,True,True,PASS,0.6681,,,False,0.203,0.314,9.94,1.0,1.98,2.801,ROCE=0.20(ok); fcf+=1.00; CFO/NP=1.98,risk_on,0.0,
ROUTE.NS,Route Mobile,IT,2021-01-01,2021,non_multibagger,False,2.077,0.649,screener_consolidated,5,0,True,True,FAIL,,RF8 perception-only re-rating: PE=92 > 40 with 5y earnings CAGR=-18% <= 0,,False,0.241,0.216,7.42,0.8,1.02,-0.185,vetoed: RF8 perception-only re-rating: PE=92 > 40 with 5y earnings CAGR=-18% <= 0,risk_on,0.0,
KFA.NS,Kingfisher Airlines,Industrials,2010-01-01,2010,non_multibagger,False,1.399,0.021,screener_standalone,4,0,True,True,FAIL,,"RF1 structural cash burn: FCF<0 in 4 of last 4 yrs; RF2 earnings not cash-backed: cumulative net profit <= 0 over window; RF4 Altman Z""=0.86 < 1.1",,False,-0.626,0.724,0.86,0.0,,,"vetoed: RF1 structural cash burn: FCF<0 in 4 of last 4 yrs; RF2 earnings not cash-backed: cumulative net profit <= 0 over window; RF4 Altman Z""=0.86 < 1.1",risk_on,0.02,
CONCOR.NS,Container Corp of India,Industrials,2011-01-01,2011,intermediate,False,2.365,1.753,screener_consolidated,0,0,False,False,INDETERMINATE,0.5082,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.02,
SKFINDIA.NS,SKF India,Industrials,2014-01-01,2014,multibagger,True,3.02,2.967,screener_consolidated,0,0,False,False,INDETERMINATE,0.529,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.02,fx_stress
JISLJALEQS.NS,Jain Irrigation Systems,Industrials,2016-01-01,2016,non_multibagger,False,2.101,0.288,screener_consolidated,1,0,False,False,INDETERMINATE,0.4397,,,False,0.084,0.026,7.61,1.0,12.0,,non-fin: insufficient ROCE history,risk_on,0.0,
TIMKEN.NS,Timken India,Industrials,2016-01-01,2016,intermediate,False,2.568,2.568,screener_consolidated,0,0,False,False,INDETERMINATE,0.4882,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
JETAIRWAYS.NS,Jet Airways,Industrials,2018-01-01,2018,non_multibagger,False,1.034,0.084,screener_consolidated,10,0,True,True,FAIL,,"RF2 earnings not cash-backed: CFO/NI < 0.5 for 8 consecutive yrs; RF4 Altman Z""=0.23 < 1.1",,False,0.335,-0.23,0.23,0.6,,0.237,"vetoed: RF2 earnings not cash-backed: CFO/NI < 0.5 for 8 consecutive yrs; RF4 Altman Z""=0.23 < 1.1",risk_on,0.02,
ADANIENT.NS,Adani Enterprises,Infra,2016-01-01,2016,multibagger_strong,True,10.288,10.052,screener_consolidated,1,0,False,False,INDETERMINATE,0.4229,,,False,0.082,0.089,5.55,0.0,3.71,,non-fin: insufficient ROCE history,risk_on,0.0,
ADANIPORTS.NS,Adani Ports & SEZ,Infra,2016-01-01,2016,intermediate,False,1.859,1.853,screener_consolidated,1,0,False,False,INDETERMINATE,0.4172,,,False,0.105,0.216,6.93,1.0,1.32,,non-fin: insufficient ROCE history,risk_on,0.0,
GVKPIL.NS,GVK Power & Infrastructure,Infra,2016-01-01,2016,multibagger,True,3.172,0.343,screener_consolidated,1,0,False,False,FAIL,,RF2 earnings not cash-backed: cumulative net profit <= 0 over window,,False,0.004,-0.586,3.68,0.0,,,vetoed: RF2 earnings not cash-backed: cumulative net profit <= 0 over window,risk_on,0.0,
HCC.NS,Hindustan Construction,Infra,2016-01-01,2016,non_multibagger,False,1.833,0.391,screener_consolidated,1,0,False,False,FAIL,,RF2 earnings not cash-backed: cumulative net profit <= 0 over window,,False,0.074,-0.397,5.29,0.0,,,vetoed: RF2 earnings not cash-backed: cumulative net profit <= 0 over window,risk_on,0.0,
SADBHAV.NS,Sadbhav Engineering,Infra,2017-01-01,2017,non_multibagger,False,1.565,0.14,screener_consolidated,2,0,True,True,FAIL,,RF2 earnings not cash-backed: cumulative net profit <= 0 over window,,False,0.077,-0.219,3.89,0.0,,,vetoed: RF2 earnings not cash-backed: cumulative net profit <= 0 over window,risk_on,0.0,
ASIANPAINT.NS,Asian Paints,Materials,2010-01-01,2010,multibagger,True,4.674,4.393,screener_consolidated,0,0,False,False,INDETERMINATE,0.4907,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
BERGEPAINT.NS,Berger Paints India,Materials,2012-01-01,2012,multibagger_strong,True,9.108,7.141,screener_consolidated,0,0,False,False,INDETERMINATE,0.4915,,,False,,,,,,,non-fin: insufficient ROCE history,risk_off,0.0,risk_off_tape;fx_stress
SHREECEM.NS,Shree Cement,Materials,2012-01-01,2012,multibagger_strong,True,8.643,7.08,screener_consolidated,0,0,False,False,INDETERMINATE,0.4701,,,False,,,,,,,non-fin: insufficient ROCE history,risk_off,0.0,risk_off_tape;fx_stress
GRASIM.NS,Grasim Industries,Materials,2015-01-01,2015,non_multibagger,False,2.497,1.456,screener_consolidated,0,0,False,False,INDETERMINATE,0.4552,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
ULTRACEMCO.NS,UltraTech Cement,Materials,2015-01-01,2015,intermediate,False,1.838,1.547,screener_consolidated,0,0,False,False,INDETERMINATE,0.4363,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
HINDALCO.NS,Hindalco Industries,Metals,2010-01-01,2010,non_multibagger,False,1.575,1.038,screener_consolidated,0,0,False,False,INDETERMINATE,0.5651,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
JINDALSTEL.NS,Jindal Steel & Power,Metals,2010-01-01,2010,non_multibagger,False,1.068,0.226,screener_consolidated,0,0,False,False,INDETERMINATE,0.5987,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
TATASTEEL.NS,Tata Steel,Metals,2010-01-01,2010,non_multibagger,False,1.158,0.735,screener_consolidated,0,0,False,False,INDETERMINATE,0.5651,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
VEDL.NS,Vedanta,Metals,2010-01-01,2010,non_multibagger,False,1.194,0.568,screener_consolidated,0,0,False,False,INDETERMINATE,0.5987,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
COALINDIA.NS,Coal India,Metals,2011-01-01,2011,non_multibagger,False,1.795,1.352,screener_consolidated,0,0,False,False,INDETERMINATE,0.5,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
NMDC.NS,NMDC,Metals,2011-01-01,2011,non_multibagger,False,1.081,0.431,screener_consolidated,0,0,False,False,INDETERMINATE,0.4096,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
SAIL.NS,Steel Authority of India,Metals,2011-01-01,2011,non_multibagger,False,1.037,0.301,screener_consolidated,0,0,False,False,INDETERMINATE,0.4332,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
JSWSTEEL.NS,JSW Steel,Metals,2016-01-01,2016,multibagger,True,4.171,3.974,screener_consolidated,1,0,False,False,INDETERMINATE,0.4643,,,False,0.097,0.077,4.93,1.0,4.57,,non-fin: insufficient ROCE history,risk_on,0.0,
AJANTPHARM.NS,Ajanta Pharma,Pharma,2012-01-01,2012,multibagger_strong,True,53.745,45.925,screener_consolidated,0,0,False,False,INDETERMINATE,0.5726,,,False,,,,,,,non-fin: insufficient ROCE history,risk_off,0.0,risk_off_tape;fx_stress
ABBOTINDIA.NS,Abbott India,Pharma,2014-01-01,2014,multibagger_strong,True,5.367,4.734,screener_standalone,0,0,False,False,INDETERMINATE,0.5289,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,fx_stress
DIVISLAB.NS,Divi's Laboratories,Pharma,2014-01-01,2014,intermediate,False,2.685,2.536,screener_consolidated,0,0,False,False,INDETERMINATE,0.5096,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,fx_stress
TORNTPHARM.NS,Torrent Pharmaceuticals,Pharma,2014-01-01,2014,multibagger,True,4.205,4.069,screener_consolidated,0,0,False,False,INDETERMINATE,0.5868,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,fx_stress
CAPLIPOINT.NS,Caplin Point Laboratories,Pharma,2014-07-01,2014,multibagger_strong,True,16.16,9.713,screener_consolidated,0,0,False,False,INDETERMINATE,0.5,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
CIPLA.NS,Cipla,Pharma,2015-01-01,2015,non_multibagger,False,1.18,0.773,screener_consolidated,0,0,False,False,INDETERMINATE,0.5542,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
DRREDDY.NS,Dr Reddy's Laboratories,Pharma,2015-01-01,2015,non_multibagger,False,1.361,0.929,screener_consolidated,0,0,False,False,INDETERMINATE,0.5118,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
LUPIN.NS,Lupin,Pharma,2015-01-01,2015,non_multibagger,False,1.481,0.555,screener_consolidated,0,0,False,False,INDETERMINATE,0.5589,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
SUNPHARMA.NS,Sun Pharmaceutical,Pharma,2015-01-01,2015,non_multibagger,False,1.422,0.539,screener_consolidated,0,0,False,False,INDETERMINATE,0.4835,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
JBCHEPHARM.NS,J B Chemicals & Pharma,Pharma,2016-01-01,2016,multibagger,True,4.288,3.878,screener_consolidated,1,0,False,False,INDETERMINATE,0.546,,,False,0.126,0.101,9.03,1.0,1.27,,non-fin: insufficient ROCE history,risk_on,0.0,
POLYMED.NS,Poly Medicure,Pharma,2016-01-01,2016,intermediate,False,2.877,2.716,screener_consolidated,1,0,False,False,INDETERMINATE,0.4967,,,False,0.244,0.316,9.52,1.0,1.02,,non-fin: insufficient ROCE history,risk_on,0.0,
APLLTD.NS,Alembic Pharmaceuticals,Pharma,2017-01-01,2017,non_multibagger,False,1.957,1.413,screener_consolidated,2,0,True,True,PASS,0.6245,,,False,0.546,0.451,12.19,0.5,1.12,1.545,ROCE=0.55(ok); fcf+=0.50; CFO/NP=1.12,risk_on,0.0,
LALPATHLAB.NS,Dr Lal PathLabs,Pharma,2017-01-01,2017,multibagger,True,3.987,3.621,screener_consolidated,2,0,True,True,FAIL,,RF8 perception-only re-rating: PE=63 > 40 with 5y earnings CAGR=-9% <= 0,,False,0.359,0.262,15.02,1.0,1.23,-0.087,vetoed: RF8 perception-only re-rating: PE=63 > 40 with 5y earnings CAGR=-9% <= 0,risk_on,0.0,
LAURUSLABS.NS,Laurus Labs,Pharma,2017-01-01,2017,multibagger_strong,True,7.446,5.671,screener_consolidated,2,0,True,True,FAIL,0.4871,,,False,0.146,0.17,8.13,0.0,0.58,0.926,ROCE=0.15(lo); fcf+=0.00; CFO/NP=0.58,risk_on,0.0,
GLAND.NS,Gland Pharma,Pharma,2021-06-01,2021,non_multibagger,False,1.401,0.759,screener_consolidated,1,0,False,False,INDETERMINATE,0.4476,,,False,0.236,0.212,20.5,1.0,0.91,,non-fin: insufficient ROCE history,risk_on,0.0,
RCOM.NS,Reliance Communications,Telecom,2010-01-01,2010,non_multibagger,False,1.17,0.492,screener_consolidated,0,0,False,False,FAIL,,RF7 auditor red flag (manual/news),,False,,,,,,,vetoed: RF7 auditor red flag (manual/news),risk_on,0.0,
DISHTV.NS,Dish TV India,Telecom,2017-01-01,2017,non_multibagger,False,1.294,0.22,screener_consolidated,2,0,True,True,FAIL,,RF6 promoter pledge 88% > 50%,,False,0.269,1.816,2.71,1.0,2.73,215.667,vetoed: RF6 promoter pledge 88% > 50%,risk_on,0.0,
HATHWAY.NS,Hathway Cable & Datacom,Telecom,2017-01-01,2017,non_multibagger,False,1.514,0.612,screener_consolidated,2,0,True,True,FAIL,,RF2 earnings not cash-backed: cumulative net profit <= 0 over window; RF5 insolvency risk: interest coverage=-1.62 < 1.5 and net-debt/EBITDA rising,,False,-0.05,-0.219,4.58,0.0,,,vetoed: RF2 earnings not cash-backed: cumulative net profit <= 0 over window; RF5 insolvency risk: interest coverage=-1.62 < 1.5 and net-debt/EBITDA rising,risk_on,0.0,
IDEA.NS,Vodafone Idea,Telecom,2017-01-01,2017,non_multibagger,False,1.596,0.34,screener_consolidated,2,0,True,True,FAIL,0.3998,,,False,0.084,0.116,4.14,1.0,3.61,-0.148,ROCE=0.08(lo); fcf+=1.00; CFO/NP=3.61,risk_on,0.0,
RELINFRA.NS,Reliance Infrastructure,Utilities,2010-01-01,2010,non_multibagger,False,1.067,0.479,screener_consolidated,0,0,False,False,INDETERMINATE,0.5056,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
RPOWER.NS,Reliance Power,Utilities,2010-01-01,2010,non_multibagger,False,1.23,0.402,screener_consolidated,0,0,False,False,INDETERMINATE,0.4088,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
NTPC.NS,NTPC,Utilities,2011-01-01,2011,non_multibagger,False,1.007,0.837,screener_consolidated,0,0,False,False,INDETERMINATE,0.4096,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
POWERGRID.NS,Power Grid Corp,Utilities,2011-01-01,2011,intermediate,False,1.743,1.589,screener_consolidated,0,0,False,False,INDETERMINATE,0.4646,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
TATAPOWER.NS,Tata Power,Utilities,2011-01-01,2011,non_multibagger,False,1.026,0.558,screener_consolidated,0,0,False,False,INDETERMINATE,0.4961,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
